protocol_number,protocol_string_label
100,Amplitude Discrimination
105,Simultaneous Amplitude Discrimination
109,NA
171,Simultaneous Amplitude Discrimination
300,Temporal Order Judgement
301,Temporal Order Judgement with Carrier
351,NA
713,Dynamic Detection Threshold
800,Choice Reaction Time
801,Simple Reaction Time
900,Static Detection Threshold
910,Static Detection Threshold with adaptive stimulus
920,Simultaneous Frequency Discrimination
925,Sequential Frequency Discrimination
930,Temporal Order Judgement
931,Temporal Order Judgement with Carrier
950,Duration Discrimination
